fold,model,antibiotic,F1,AUC,MCC,n_test,n_pos
0,LR_comb,ampicillin,0.6595744680851063,0.7791537667698659,0.466101741492031,127,51
0,LR_comb,amoxicillin/clavulanic acid,0.45161290322580644,0.6679738562091503,0.2837770458735271,66,15
0,LR_comb,cefotaxime,0.4444444444444444,0.7823439878234398,0.37012716668476164,164,18
0,LR_comb,ceftazidime,0.509090909090909,0.8080495356037151,0.45697668305463174,172,19
0,LR_comb,cefuroxime,0.48484848484848486,0.8597222222222223,0.4388374329729548,132,12
0,LR_comb,ciprofloxacin,0.463768115942029,0.7704364600916325,0.3402194079264288,172,29
0,LR_comb,gentamicin,0.2631578947368421,0.6595840867992767,0.18694000377087872,172,14
0,LR_comb,piperacillin/tazobactam,0.3333333333333333,0.6881551362683438,0.2844480025474845,171,12
0,LR_comb,meropenem,0.5714285714285714,1.0,0.6254925066796634,139,2
0,XGB_comb,ampicillin,0.6741573033707865,0.7861197110423117,0.5170435902505573,127,51
0,XGB_comb,amoxicillin/clavulanic acid,0.34782608695652173,0.6562091503267974,0.24169784835322825,66,15
0,XGB_comb,cefotaxime,0.4444444444444444,0.6773211567732115,0.4293110167855026,164,18
0,XGB_comb,ceftazidime,0.4444444444444444,0.7309941520467836,0.450602128380237,172,19
0,XGB_comb,cefuroxime,0.13333333333333333,0.7694444444444444,0.1285980859121099,132,12
0,XGB_comb,ciprofloxacin,0.41025641025641024,0.7207619966240656,0.4189915846025324,172,29
0,XGB_comb,gentamicin,0.23529411764705882,0.5867992766726944,0.2851743116814449,172,14
0,XGB_comb,piperacillin/tazobactam,0.375,0.7835429769392033,0.41188458301776043,171,12
0,XGB_comb,meropenem,0.5,0.9963503649635037,0.4927007299270073,139,2
0,RF_comb,ampicillin,0.4788732394366197,0.7667698658410732,0.3954803895033461,127,51
0,RF_comb,amoxicillin/clavulanic acid,0.3333333333333333,0.6013071895424836,0.40237390808147827,66,15
0,RF_comb,cefotaxime,0.34782608695652173,0.6449771689497716,0.3915797154102446,164,18
0,RF_comb,ceftazidime,0.3333333333333333,0.696594427244582,0.3806176642130664,172,19
0,RF_comb,cefuroxime,0.0,0.6965277777777777,0.0,132,12
0,RF_comb,ciprofloxacin,0.29411764705882354,0.719797443935375,0.3842339950561961,172,29
0,RF_comb,gentamicin,0.2222222222222222,0.5497287522603977,0.2362192519755216,172,14
0,RF_comb,piperacillin/tazobactam,0.4,0.800314465408805,0.4864228025670084,171,12
0,RF_comb,meropenem,0.6666666666666666,0.9927007299270073,0.7045401419324543,139,2
1,LR_comb,ampicillin,0.5660377358490566,0.6925480769230768,0.2752083664615126,132,52
1,LR_comb,amoxicillin/clavulanic acid,0.45714285714285713,0.6521739130434783,0.24993459731277484,61,15
1,LR_comb,cefotaxime,0.4782608695652174,0.8172514619883041,0.4038318670437819,163,19
1,LR_comb,ceftazidime,0.43902439024390244,0.7684766214177979,0.373107959354145,173,17
1,LR_comb,cefuroxime,0.26666666666666666,0.779933110367893,0.17325526557838042,128,13
1,LR_comb,ciprofloxacin,0.5230769230769231,0.7931034482758621,0.41799929753864906,173,29
1,LR_comb,gentamicin,0.2727272727272727,0.6963162623539982,0.19998492017113462,173,14
1,LR_comb,piperacillin/tazobactam,0.15789473684210525,0.6252620545073375,0.07494388404979184,171,12
1,LR_comb,meropenem,0.8571428571428571,0.9977011494252873,0.8630339426736915,148,3
1,XGB_comb,ampicillin,0.6170212765957447,0.7478365384615385,0.41458085987812965,132,52
1,XGB_comb,amoxicillin/clavulanic acid,0.5454545454545454,0.7188405797101449,0.511057848216425,61,15
1,XGB_comb,cefotaxime,0.2222222222222222,0.7448830409356725,0.18296204750752446,163,19
1,XGB_comb,ceftazidime,0.42857142857142855,0.8080693815987934,0.3914614048792108,173,17
1,XGB_comb,cefuroxime,0.3333333333333333,0.7846153846153846,0.33268447056752387,128,13
1,XGB_comb,ciprofloxacin,0.35555555555555557,0.6994731800766283,0.2840519433196126,173,29
1,XGB_comb,gentamicin,0.4444444444444444,0.7875112309074573,0.5184670818499099,173,14
1,XGB_comb,piperacillin/tazobactam,0.13333333333333333,0.7442348008385744,0.13766683091519108,171,12
1,XGB_comb,meropenem,0.8571428571428571,1.0,0.8630339426736915,148,3
1,RF_comb,ampicillin,0.5454545454545454,0.7413461538461539,0.44126476611825416,132,52
1,RF_comb,amoxicillin/clavulanic acid,0.47619047619047616,0.763768115942029,0.4505644729810509,61,15
1,RF_comb,cefotaxime,0.18181818181818182,0.8029970760233918,0.2347327111051377,163,19
1,RF_comb,ceftazidime,0.34782608695652173,0.798265460030166,0.36193567382021735,173,17
1,RF_comb,cefuroxime,0.14285714285714285,0.7424749163879599,0.263921872329909,128,13
1,RF_comb,ciprofloxacin,0.2777777777777778,0.6683429118773946,0.30052089973749696,173,29
1,RF_comb,gentamicin,0.13333333333333333,0.7681940700808625,0.2569628384265435,173,14
1,RF_comb,piperacillin/tazobactam,0.14285714285714285,0.6907756813417191,0.1830500279057921,171,12
1,RF_comb,meropenem,0.0,0.993103448275862,-0.01186363997910571,148,3
2,LR_comb,ampicillin,0.6666666666666666,0.7432432432432432,0.44902046306569277,125,51
2,LR_comb,amoxicillin/clavulanic acid,0.47058823529411764,0.582312925170068,0.2863512810035857,64,15
2,LR_comb,cefotaxime,0.5217391304347826,0.8693693693693693,0.46378560204290736,166,18
2,LR_comb,ceftazidime,0.5333333333333333,0.8721719457013575,0.48760730803394237,173,17
2,LR_comb,cefuroxime,0.34285714285714286,0.8507751937984497,0.27808941329564474,141,12
2,LR_comb,ciprofloxacin,0.6027397260273972,0.8060344827586207,0.5196597532714617,173,29
2,LR_comb,gentamicin,0.23076923076923078,0.6495956873315364,0.14973704363253987,173,14
2,LR_comb,piperacillin/tazobactam,0.358974358974359,0.7091194968553459,0.3205250158944166,171,12
2,LR_comb,meropenem,1.0,1.0,1.0,129,3
2,XGB_comb,ampicillin,0.6585365853658537,0.7665606783253841,0.5409744039547277,125,51
2,XGB_comb,amoxicillin/clavulanic acid,0.41379310344827586,0.6462585034013606,0.24258087527577826,64,15
2,XGB_comb,cefotaxime,0.5384615384615384,0.9035285285285285,0.5547625436475183,166,18
2,XGB_comb,ceftazidime,0.5217391304347826,0.8288084464555053,0.5741894757554634,173,17
2,XGB_comb,cefuroxime,0.125,0.7810077519379846,0.10097344904975211,141,12
2,XGB_comb,ciprofloxacin,0.43243243243243246,0.7770593869731801,0.49066521284596754,173,29
2,XGB_comb,gentamicin,0.2857142857142857,0.6325247079964061,0.2617679378945792,173,14
2,XGB_comb,piperacillin/tazobactam,0.35294117647058826,0.7243186582809225,0.3599730357914758,171,12
2,XGB_comb,meropenem,0.8571428571428571,1.0,0.8625819491779427,129,3
2,RF_comb,ampicillin,0.4810126582278481,0.71939586645469,0.2957904501292845,125,51
2,RF_comb,amoxicillin/clavulanic acid,0.34782608695652173,0.7061224489795918,0.23700430343035805,64,15
2,RF_comb,cefotaxime,0.48,0.884009009009009,0.5052479501438356,166,18
2,RF_comb,ceftazidime,0.45454545454545453,0.8367269984917044,0.5225985492684408,173,17
2,RF_comb,cefuroxime,0.0,0.8204134366925064,0.0,141,12
2,RF_comb,ciprofloxacin,0.29411764705882354,0.7772988505747126,0.3844258722192448,173,29
2,RF_comb,gentamicin,0.21052631578947367,0.6248876909254267,0.20183982410258397,173,14
2,RF_comb,piperacillin/tazobactam,0.375,0.7237945492662474,0.41188458301776043,171,12
2,RF_comb,meropenem,0.5,1.0,0.57282196186948,129,3
3,LR_comb,ampicillin,0.6434782608695652,0.7515542802486849,0.3855812987376603,133,51
3,LR_comb,amoxicillin/clavulanic acid,0.4,0.578125,0.13119431691539143,56,16
3,LR_comb,cefotaxime,0.4,0.8197278911564626,0.32025630761017426,165,18
3,LR_comb,ceftazidime,0.34146341463414637,0.7564935064935064,0.2563146479586858,172,18
3,LR_comb,cefuroxime,0.3076923076923077,0.7389460932768019,0.23682616596002423,140,13
3,LR_comb,ciprofloxacin,0.4411764705882353,0.7398313492063492,0.31642852935459875,172,28
3,LR_comb,gentamicin,0.42105263157894735,0.7224231464737795,0.37102596168266005,172,14
3,LR_comb,piperacillin/tazobactam,0.1875,0.5692708333333334,0.11424091579686003,172,12
3,LR_comb,meropenem,0.6666666666666666,0.8195488721804511,0.6591478696741855,136,3
3,XGB_comb,ampicillin,0.5833333333333334,0.7458153993304638,0.351149958630467,133,51
3,XGB_comb,amoxicillin/clavulanic acid,0.16666666666666666,0.5359375000000001,-0.03227486121839514,56,16
3,XGB_comb,cefotaxime,0.23076923076923078,0.7123960695389266,0.1925384081333525,165,18
3,XGB_comb,ceftazidime,0.2962962962962963,0.6984126984126984,0.260839929564982,172,18
3,XGB_comb,cefuroxime,0.13333333333333333,0.7092671108419141,0.16887943746468465,140,13
3,XGB_comb,ciprofloxacin,0.2857142857142857,0.6222718253968254,0.21430245731924266,172,28
3,XGB_comb,gentamicin,0.0,0.6523508137432188,0.0,172,14
3,XGB_comb,piperacillin/tazobactam,0.2857142857142857,0.7171875,0.3960590171906697,172,12
3,XGB_comb,meropenem,0.5,0.9223057644110275,0.5730576425878945,136,3
3,RF_comb,ampicillin,0.4533333333333333,0.7113821138211383,0.31352189273769593,133,51
3,RF_comb,amoxicillin/clavulanic acid,0.11764705882352941,0.5281250000000001,0.21320071635561041,56,16
3,RF_comb,cefotaxime,0.2,0.6866969009826153,0.31655094215229423,165,18
3,RF_comb,ceftazidime,0.2,0.6886724386724387,0.31725950698322947,172,18
3,RF_comb,cefuroxime,0.0,0.6141732283464567,0.0,140,13
3,RF_comb,ciprofloxacin,0.12903225806451613,0.6641865079365079,0.181848241863327,172,28
3,RF_comb,gentamicin,0.0,0.6934900542495479,0.0,172,14
3,RF_comb,piperacillin/tazobactam,0.0,0.7026041666666667,0.0,172,12
3,RF_comb,meropenem,0.0,0.9273182957393484,0.0,136,3
